"";"styrk98";"styrk08"
"819";"1228170";"1344"
"820";"1228171";"1344"
"821";"1228172";"1344"
"822";"1228173";"1344"
"823";"1228174";"1344"
"824";"1228175";"1344"
"825";"1228176";"1344"
"826";"1228177";"1344"
"827";"1228178";"1344"
"828";"1228179";"1344"
"829";"1228180";"1344"
"830";"1228181";"1344"
"831";"1228182";"1344"
"832";"1228183";"1344"
"833";"1228184";"1344"
"834";"1228185";"1344"
"835";"1228186";"1344"
"836";"1228187";"1344"
"837";"1228188";"1344"
"838";"1228189";"1345"
"839";"1228190";"1345"
"840";"1228191";"1345"
"841";"1228192";"1345"
"842";"1228193";"1345"
"843";"1228194";"1345"
"844";"1228195";"1341"
"845";"1228196";"1345"
"846";"1228197";"1345"
"847";"1228198";"1342"
"848";"1228199";"1341"
"849";"1228200";"1223"
"850";"1229101";"1439"
"851";"1229102";"1439"
"852";"1229103";"1431"
"853";"1229104";"1431"
"854";"1229105";"1439"
"855";"1229106";"1344"
"856";"1229107";"1344"
"857";"1229108";"1431"
"858";"1229109";"1431"
"859";"1229110";"1120"
"860";"1229111";"1431"
"861";"1229112";"1344"
"862";"1229114";"1431"
"863";"1229115";"1431"
"864";"1229117";"1431"
"865";"1229118";"1431"
"866";"1229119";"1349"
"867";"1229120";"1114"
"868";"1229121";"1219"
"869";"1229122";"1114"
"870";"1229123";"1431"
"871";"1229124";"1431"
"872";"1229125";"1431"
"873";"1229126";"1344"
"874";"1229127";"1344"
"875";"1229128";"1344"
"876";"1229129";"1431"
"877";"1229130";"1431"
"878";"1229131";"1114"
"879";"1229132";"1431"
"880";"1229133";"1439"
"881";"1229134";"1439"
"882";"1229135";"1431"
"883";"1229136";"1431"
"884";"1229137";"1219"
"885";"1229138";"1431"
"886";"1229139";"1431"
"887";"1231102";"1346"
"888";"1231103";"1219"
"889";"1231104";"1211"
"890";"1231105";"1211"
"891";"1231106";"1211"
"892";"1231108";"1211"
"893";"1231109";"1211"
"894";"1231110";"1211"
"895";"1231111";"1211"
"896";"1231113";"1212"
"897";"1231114";"1213"
"898";"1231115";"1211"
"899";"1231116";"1211"
"900";"1231117";"1211"
"901";"1231118";"1211"
"902";"1231119";"3341"
"903";"1231120";"1211"
"904";"1231121";"1211"
"905";"1231122";"1211"
"906";"1231123";"1211"
"907";"1231124";"1211"
"908";"1231125";"1211"
"909";"1231126";"1219"
"910";"1231127";"1211"
"911";"1231128";"1211"
"912";"1231129";"1211"
"913";"1231130";"1211"
"914";"1231131";"1211"
"915";"1231132";"1219"
"916";"1231133";"1211"
"917";"1231134";"1211"
"918";"1231135";"1211"
"919";"1231136";"1211"
"920";"1232101";"1345"
"921";"1232102";"1212"
"922";"1232103";"1212"
"923";"1232104";"1212"
"924";"1232105";"1212"
"925";"1232106";"1219"
"926";"1232107";"1219"
"927";"1232108";"1219"
"928";"1232109";"1212"
"929";"1232110";"1219"
"930";"1232111";"1212"
"931";"1232112";"1212"
"932";"1232113";"1212"
"933";"1232114";"1211"
"934";"1232115";"1212"
"935";"1232116";"1212"
"936";"1232117";"1212"
"937";"1233101";"1221"
"938";"1233102";"1221"
"939";"1233103";"1221"
"940";"1233104";"1221"
"941";"1233105";"1221"
"942";"1233106";"1324"
"943";"1233107";"1221"
"944";"1233108";"1221"
"945";"1234101";"1222"
"946";"1234102";"1222"
"947";"1234103";"1221"
"948";"1234104";"1221"
"949";"1234105";"1222"
"950";"1234106";"1221"
"951";"1234107";"1222"
"952";"1234108";"1222"
"953";"1234109";"1221"
"954";"1234110";"1222"
"955";"1234111";"1222"
"956";"1234112";"1221"
"957";"1234113";"1221"
"958";"1234114";"1222"
"959";"1234115";"1222"
"960";"1235101";"1221"
"961";"1235102";"1324"
"962";"1235103";"1324"
"963";"1235104";"1324"
"964";"1235105";"1324"
"965";"1235106";"1324"
"966";"1235107";"1324"
"967";"1235108";"1324"
"968";"1235109";"1324"
"969";"1235110";"1221"
"970";"1235111";"1324"
"971";"1235112";"1324"
"972";"1236101";"1330"
"973";"1236102";"1330"
"974";"1236103";"1330"
"975";"1236104";"1330"
"976";"1236105";"1330"
"977";"1236106";"1330"
"978";"1236107";"1330"
"979";"1236108";"1330"
"980";"1236109";"1330"
"981";"1236110";"1330"
"982";"1236111";"1330"
"983";"1236112";"1330"
"984";"1236113";"1330"
"985";"1236114";"1330"
"986";"1236115";"1330"
"987";"1236116";"1330"
"988";"1237101";"1223"
"989";"1237102";"1223"
"990";"1237103";"1223"
"991";"1237104";"1223"
"992";"1237105";"1223"
"993";"1237107";"1223"
"994";"1237108";"1223"
"995";"1237110";"1223"
"996";"1239101";"1219"
"997";"1239102";"3341"
"998";"1239104";"1213"
"999";"1239105";"2611"
"1000";"1239106";"1219"
"1001";"1239107";"1321"
"1002";"1239108";"1349"
"1003";"1239109";"1349"
"1004";"1239111";"1431"
"1005";"1239112";"1219"
"1006";"1239113";"1223"
"1007";"1239114";"1349"
"1008";"1239115";"1349"
"1009";"1239116";"1213"
"1010";"1239117";"1349"
"1011";"1239118";"1349"
"1012";"1239119";"1219"
"1013";"1239120";"1219"
"1014";"1239121";"1219"
"1015";"1239122";"1349"
"1016";"1239123";"1349"
"1017";"1310101";"1120"
"1018";"1310102";"1120"
"1019";"1310103";"1120"
"1020";"1310104";"1219"
"1021";"1311101";"1311"
"1022";"1311102";"1311"
"1023";"1311103";"1311"
"1024";"1311104";"1311"
"1025";"1311105";"1312"
"1026";"1311106";"1311"
"1027";"1311107";"1312"
"1028";"1311108";"1120"
"1029";"1311109";"1219"
"1030";"1311110";"1311"
"1031";"1312101";"1321"
"1032";"1312102";"1349"
"1033";"1312103";"1349"
"1034";"1312104";"1321"
"1035";"1312105";"1321"
"1036";"1312106";"1321"
"1037";"1312107";"1322"
"1038";"1312108";"1321"
"1039";"1312109";"1321"
"1040";"1312110";"1321"
"1041";"1312111";"1321"
"1042";"1312112";"1219"
"1043";"1312113";"1349"
"1044";"1312114";"1349"
"1045";"1312115";"1321"
"1046";"1312116";"1321"
"1047";"1313101";"1323"
"1048";"1313102";"1323"
"1049";"1313103";"1323"
"1050";"1313104";"1323"
"1051";"1313106";"1323"
"1052";"1314101";"1420"
"1053";"1314102";"1420"
"1054";"1314103";"1420"
"1055";"1314104";"1420"
"1056";"1314105";"1420"
"1057";"1314106";"1420"
"1058";"1314107";"1120"
"1059";"1314108";"1420"
"1060";"1314109";"1420"
"1061";"1314110";"1420"
"1062";"1314111";"1420"
"1063";"1315101";"1412"
"1064";"1315102";"1439"
"1065";"1315103";"3434"
"1066";"1315104";"1411"
"1067";"1315105";"1411"
