"","ny_grk","gammel_grk","fra_aar","til_aar"
"5408","30200200","30200201","2020-01-01","2024-01-01"
"5409","30200200","30200202","2020-01-01","2024-01-01"
"5410","30200200","30200205","2020-01-01","2024-01-01"
"5411","30200200","30200206","2020-01-01","2024-01-01"
"5412","30200200","30200207","2020-01-01","2024-01-01"
"5413","30200200","30200208","2020-01-01","2024-01-01"
"5414","30200200","30200209","2020-01-01","2024-01-01"
"5415","30200200","30200210","2020-01-01","2024-01-01"
"5416","30200200","30200211","2020-01-01","2024-01-01"
"5417","30200200","30200212","2020-01-01","2024-01-01"
"5418","30200200","30200213","2020-01-01","2024-01-01"
"5419","30200200","30200214","2020-01-01","2024-01-01"
"5420","30200200","30200215","2020-01-01","2024-01-01"
"5421","30200200","30200216","2020-01-01","2024-01-01"
"5422","30200200","30200217","2020-01-01","2024-01-01"
"5423",NA,"30200300","2020-01-01","2024-01-01"
"5424","30200300","30200301","2020-01-01","2024-01-01"
"5425","30200300","30200302","2020-01-01","2024-01-01"
"5426","30200300","30200303","2020-01-01","2024-01-01"
"5427","30200300","30200304","2020-01-01","2024-01-01"
"5428","30200300","30200305","2020-01-01","2024-01-01"
"5429","30200300","30200306","2020-01-01","2024-01-01"
"5430","30200300","30200307","2020-01-01","2024-01-01"
"5431",NA,"30200400","2020-01-01","2024-01-01"
"5432","30200400","30200401","2020-01-01","2024-01-01"
"5433","30200400","30200402","2020-01-01","2024-01-01"
"5434","30200400","30200403","2020-01-01","2024-01-01"
"5435","30200400","30200404","2020-01-01","2024-01-01"
"5436","30200400","30200405","2020-01-01","2024-01-01"
"5437","30200400","30200406","2020-01-01","2024-01-01"
"5438","30200400","30200407","2020-01-01","2024-01-01"
"5439","30200400","30200408","2020-01-01","2024-01-01"
"5440",NA,"30200500","2020-01-01","2024-01-01"
"5441","30200500","30200501","2020-01-01","2024-01-01"
"5442","30200500","30200502","2020-01-01","2024-01-01"
"5443","30200500","30200503","2020-01-01","2024-01-01"
"5444","30200500","30200504","2020-01-01","2024-01-01"
"5445","30200500","30200505","2020-01-01","2024-01-01"
"5446","30200500","30200506","2020-01-01","2024-01-01"
"5447","30200500","30200507","2020-01-01","2024-01-01"
"5448","30200500","30200508","2020-01-01","2024-01-01"
"5449","30200500","30200509","2020-01-01","2024-01-01"
"5450","30200500","30200510","2020-01-01","2024-01-01"
"5451","30200500","30200511","2020-01-01","2024-01-01"
"5452",NA,"30200600","2020-01-01","2024-01-01"
"5453","30200600","30200603","2020-01-01","2024-01-01"
"5454","30200600","30200604","2020-01-01","2024-01-01"
"5455","30200600","30200605","2020-01-01","2024-01-01"
"5456","30200600","30200606","2020-01-01","2024-01-01"
"5457","30200600","30200609","2020-01-01","2024-01-01"
